Developer,Repository name,Total stars,Stars Today Nov-28-2019
hecrj,iced,"2,130",275
chiphuyen,machine-learning-systems-design,"2,155",352
sherlock-project,sherlock,"8,248",92
jumpserver,jumpserver,"11,236",30
aws,sagemaker-python-sdk,874,1
SortableJS,Vue.Draggable,"10,053",25
lucas-clemente,quic-go,"3,500",12
Anuken,Mindustry,"2,131",43
s0md3v,Corsy,300,37
mockito,mockito,"9,745",46
harismuneer,Ultimate-Facebook-Scraper,957,68
deep-learning-with-pytorch,dlwpt-code,512,24
JuliaLang,julia,"24,496",35
joeferraro,react-native-cookies,743,0
golang,dep,"12,920",10
golang,protobuf,"5,779",48
ultralytics,yolov3,"2,892",23
jinzhu,gorm,"16,054",25
Thomvaill,tads-boilerplate,209,28
qingshuisiyuan,electron-ssr-backup,"2,504",20
grpc,grpc-go,"10,112",9
airbnb,lottie-ios,"18,580",10
protocolbuffers,protobuf,"38,741",33
getsentry,sentry,"23,081",102
